Group number,Relative Separation [kpc],Relative Velocity [km/s],Pair Type
11288.0,52.22567671893758,26.172019439259394,Major
11736.0,63.221224382325914,28.207781103248728,Major
12017.0,11.682451346397752,53.19947022232596,Major
12481.0,20.32287813320372,38.655343094230844,Major
12753.0,47.62472316520176,36.85320882619966,Major
12882.0,28.959601162258448,6.038114945653126,Major
13224.0,31.444134344067255,27.202161035310574,Major
13756.0,18.0909240061985,43.7508354729053,Major
2940.0,371.6409041832405,118.15744312931719,Minor
3165.0,472.7454760715405,164.92123052973392,Minor
3189.0,532.7309699015948,205.56942766605619,Minor
3793.0,333.6002029954851,121.54787146698072,Minor
4005.0,359.6348891293008,120.57875344410715,Minor
4100.0,489.3268574750548,25.001570958227248,Minor
4287.0,293.00393194550065,550.6019670921975,Minor
4290.0,319.3901515041763,56.89544188884096,Minor
4344.0,272.49113444112356,72.37636668083441,Minor
4389.0,278.9205082142491,95.2714717477896,Minor
4390.0,182.32279371373468,132.83572432983829,Minor
4402.0,252.30140840135923,141.3042695206635,Minor
4421.0,266.55123850928493,82.48238745711797,Minor
4441.0,308.4808506423637,60.304613319372976,Minor
4534.0,437.97106032885466,334.62328723470347,Minor
4540.0,386.47719995532015,89.30783308349496,Minor
4599.0,286.24563492524476,119.93799280160631,Minor
4765.0,270.4654235698548,90.40736387417836,Minor
4833.0,174.268944850883,78.48802026980917,Minor
4870.0,478.20642166458305,71.83272890941748,Minor
4953.0,292.0017627984681,108.9090277582069,Minor
5008.0,105.38229959794738,199.19649407300724,Minor
5021.0,179.84140828233504,71.57011584353825,Minor
5100.0,126.34615046820434,176.20563652383456,Minor
5123.0,359.37213692202545,64.22881546458387,Minor
5126.0,253.85861912094464,101.0966182429967,Minor
5148.0,267.16726839058606,157.3211534823616,Minor
5181.0,310.0902577872437,43.01952149782659,Minor
5222.0,184.25582962400958,177.37968810206178,Minor
5280.0,244.80355687166298,95.98538896335442,Minor
5294.0,216.84720584392673,78.73813427894486,Minor
5313.0,263.61257981002603,95.38752614954812,Minor
5378.0,300.3004956044931,75.9443442836254,Minor
5383.0,253.49463457444142,86.65976455643042,Minor
5397.0,242.95974665529468,50.076386156440705,Minor
5444.0,219.43164847575008,84.26740014186133,Minor
5447.0,61.30981340570513,68.95052794238714,Minor
5467.0,216.88986401686,102.37616740743564,Minor
5468.0,284.7795801894164,164.41069112294255,Minor
5476.0,190.8828114669031,100.47274781329735,Minor
5560.0,235.48945842317931,116.18175637102624,Minor
5569.0,195.19409617734837,77.29060494185764,Minor
5582.0,351.3019652058014,124.85138589747228,Minor
5606.0,166.3394985673931,158.82909312273924,Minor
5682.0,209.46858979244743,59.067138192100934,Minor
5704.0,282.26273254654814,74.25474515045688,Minor
5766.0,266.1412742652494,151.25513091981145,Minor
5803.0,324.5294773873152,66.72518153255798,Minor
5838.0,163.6953487771119,91.10796613416522,Minor
5858.0,194.41420199251283,154.7493284459451,Minor
5884.0,156.4871501097288,93.73531930197706,Minor
5922.0,246.11689886844673,66.2651339799888,Minor
5943.0,189.99031424977665,87.8735649596897,Minor
5964.0,146.5349504133413,169.6298430201003,Minor
5992.0,203.58928445580415,256.6530686055775,Minor
6023.0,253.12462775925266,85.39980571192915,Minor
6025.0,221.37035503335787,383.8037701739132,Minor
6068.0,224.39382019972692,144.78243631666263,Minor
6070.0,257.03817812998096,75.38822319878145,Minor
6106.0,185.22739540293887,74.52316685869417,Minor
6139.0,229.7450910119219,47.5128294169519,Minor
6143.0,91.7867678265302,111.85893193348751,Minor
6246.0,212.8132329154095,96.15411567396534,Minor
6272.0,238.84725604627656,73.22844996504524,Minor
6282.0,213.5508078611917,133.1371245656129,Minor
6328.0,440.59493571055015,238.84682006853822,Minor
6392.0,309.8958578802922,73.12761886096082,Minor
6464.0,108.79462520779694,49.70632434356839,Minor
6502.0,224.84766325903303,78.65910150213683,Minor
6611.0,87.53131449286236,96.66391084948859,Minor
6637.0,281.88846239953114,73.7349780440558,Minor
6658.0,152.66788659513142,91.15317416420157,Minor
6683.0,278.0278667025845,64.41789782694181,Minor
6789.0,111.1924951379075,92.14561417017033,Minor
6840.0,150.40992045424207,68.85661449887895,Minor
6842.0,204.59047712811358,104.2211977513264,Minor
6872.0,132.41659992158276,87.34963985955058,Minor
6915.0,54.5599788136724,95.36680175476953,Minor
6927.0,214.7854462193666,69.51430961268619,Minor
6959.0,67.53314904010529,94.99186374325308,Minor
6994.0,95.49042602617115,104.74869830845704,Minor
7005.0,268.5510799539782,73.69067339689622,Minor
7009.0,40.180400578507175,117.84413493794055,Minor
7012.0,116.66370992695202,120.06038076746303,Minor
7024.0,96.14124053245926,94.40193737092383,Minor
7041.0,73.90646101506904,59.91696644538633,Minor
7050.0,286.7740798030294,160.13216597246696,Minor
7092.0,35.47486594089066,64.12011874527886,Minor
7113.0,210.170211907951,192.7118380567825,Minor
7129.0,73.91671504541536,68.44541753162248,Minor
7138.0,207.933947774778,75.77287416536977,Minor
7163.0,275.5567810410416,69.98684038627843,Minor
7221.0,91.90162595453305,93.68411971736643,Minor
7239.0,64.41628610676055,311.34152268504783,Minor
